/*********************************************
 * OPL 22.1.1.0 Data
 * Author: Usuario
 * Creation Date: 21 jun. 2025 at 13:24:24
 *********************************************/
N = 5;

locationTuples = {
  <0, 9603, 6068, -31.505538, -68.518686>,
  <1, 11071, 5899, -31.572977, -68.516558>,
  <2, 14747, 4287, -31.506791, -68.517251>,
  <3, 8116, 5326, -31.522367, -68.488753>,
  <4, 14391, 4423, -31.575376, -68.450989>,
  <5, 12643, 5946, -31.514406, -68.514334>,
  <6, 8660, 5096, -31.529672, -68.566103>,
  <7, 14807, 4946, -31.537164, -68.543129>,
  <8, 14185, 6684, -31.533497, -68.468396>,
  <9, 13102, 6100, -31.568987, -68.511432>,
  <10, 8235, 6491, -31.518025, -68.526489>,
  <11, 14743, 6946, -31.554140, -68.530524>,
  <12, 10118, 6224, -31.538477, -68.588553>,
  <13, 13178, 5944, -31.560313, -68.587339>,
  <14, 10106, 4260, -31.565809, -68.518200>,
};

customerTuples = {
  <0, 150, -31.510809, -68.583933>,
  <1, 99, -31.566911, -68.464093>,
  <2, 92, -31.519899, -68.483332>,
  <3, 89, -31.564778, -68.485313>,
  <4, 84, -31.571753, -68.572220>,
  <5, 68, -31.527287, -68.452543>,
  <6, 68, -31.568610, -68.518319>,
  <7, 119, -31.509617, -68.485626>,
  <8, 78, -31.557721, -68.496025>,
  <9, 121, -31.522802, -68.507216>,
  <10, 73, -31.535665, -68.500937>,
  <11, 146, -31.506782, -68.569149>,
  <12, 86, -31.519758, -68.469020>,
  <13, 61, -31.570248, -68.452905>,
  <14, 75, -31.545553, -68.530596>,
  <15, 86, -31.551997, -68.539032>,
  <16, 94, -31.563556, -68.538485>,
  <17, 105, -31.557995, -68.464756>,
  <18, 62, -31.538399, -68.520331>,
  <19, 70, -31.546183, -68.484146>,
  <20, 104, -31.558951, -68.590653>,
  <21, 56, -31.546161, -68.472768>,
  <22, 117, -31.522479, -68.583164>,
  <23, 73, -31.550201, -68.527865>,
  <24, 137, -31.515070, -68.555229>,
  <25, 113, -31.505562, -68.470102>,
  <26, 123, -31.511230, -68.554729>,
  <27, 96, -31.510704, -68.517891>,
  <28, 130, -31.545603, -68.493677>,
  <29, 132, -31.577555, -68.546257>,
  <30, 129, -31.552745, -68.566683>,
  <31, 114, -31.500654, -68.462392>,
  <32, 68, -31.578508, -68.512574>,
  <33, 100, -31.572695, -68.472365>,
  <34, 73, -31.535442, -68.548998>,
  <35, 120, -31.562879, -68.553949>,
  <36, 137, -31.544828, -68.572397>,
  <37, 146, -31.534802, -68.564946>,
  <38, 105, -31.571105, -68.460277>,
  <39, 117, -31.579943, -68.567910>,
  <40, 54, -31.542920, -68.531477>,
  <41, 116, -31.544291, -68.494170>,
  <42, 68, -31.574124, -68.502322>,
  <43, 136, -31.559859, -68.579821>,
  <44, 88, -31.500837, -68.474744>,
  <45, 127, -31.510052, -68.529943>,
  <46, 142, -31.503889, -68.574637>,
  <47, 61, -31.561092, -68.571206>,
  <48, 98, -31.534349, -68.528568>,
  <49, 70, -31.538282, -68.521565>,
  <50, 142, -31.539528, -68.456253>,
  <51, 101, -31.552365, -68.513580>,
  <52, 103, -31.545574, -68.516566>,
  <53, 143, -31.526752, -68.594149>,
  <54, 86, -31.506646, -68.523733>,
  <55, 138, -31.558244, -68.546223>,
  <56, 95, -31.573750, -68.470982>,
  <57, 60, -31.574858, -68.577777>,
  <58, 101, -31.578227, -68.461676>,
  <59, 101, -31.545063, -68.457252>,
  <60, 85, -31.515462, -68.544709>,
  <61, 144, -31.570706, -68.494564>,
  <62, 66, -31.560163, -68.486859>,
  <63, 57, -31.507859, -68.565150>,
  <64, 54, -31.537435, -68.506194>,
  <65, 70, -31.500096, -68.455456>,
  <66, 102, -31.511118, -68.456622>,
  <67, 56, -31.541974, -68.464878>,
  <68, 85, -31.526378, -68.473852>,
  <69, 102, -31.546480, -68.588817>,
  <70, 88, -31.572746, -68.471964>,
  <71, 136, -31.548405, -68.507076>,
  <72, 67, -31.524453, -68.468474>,
  <73, 77, -31.532009, -68.534455>,
  <74, 61, -31.554187, -68.543238>,
  <75, 78, -31.521657, -68.472843>,
  <76, 56, -31.539680, -68.465182>,
  <77, 109, -31.538688, -68.526851>,
  <78, 74, -31.511384, -68.520618>,
  <79, 63, -31.570250, -68.458907>,
  <80, 129, -31.513199, -68.599254>,
  <81, 119, -31.559100, -68.530980>,
  <82, 80, -31.571428, -68.573137>,
  <83, 106, -31.552410, -68.541032>,
  <84, 76, -31.560044, -68.522744>,
  <85, 137, -31.559876, -68.589832>,
  <86, 122, -31.537921, -68.584773>,
  <87, 113, -31.548551, -68.512234>,
  <88, 129, -31.539424, -68.559261>,
  <89, 141, -31.544293, -68.518240>,
  <90, 117, -31.507379, -68.568587>,
  <91, 124, -31.547869, -68.584982>,
  <92, 65, -31.529202, -68.498925>,
  <93, 95, -31.520807, -68.522416>,
  <94, 88, -31.518472, -68.546680>,
  <95, 138, -31.511757, -68.530852>,
  <96, 140, -31.511630, -68.587966>,
  <97, 80, -31.522004, -68.597072>,
  <98, 60, -31.566495, -68.473575>,
  <99, 74, -31.543277, -68.494554>,
};

costTuples = {
  <0, 0, 9319>,
  <0, 1, 14115>,
  <0, 2, 9505>,
  <0, 3, 13670>,
  <0, 4, 21751>,
  <0, 5, 9914>,
  <0, 6, 4040>,
  <0, 7, 7278>,
  <0, 8, 16857>,
  <0, 9, 14155>,
  <0, 10, 8256>,
  <0, 11, 10482>,
  <0, 12, 4661>,
  <0, 13, 8271>,
  <0, 14, 13094>,
  <1, 0, 8478>,
  <1, 1, 4965>,
  <1, 2, 8287>,
  <1, 3, 5421>,
  <1, 4, 1542>,
  <1, 5, 7458>,
  <1, 6, 10410>,
  <1, 7, 8105>,
  <1, 8, 3700>,
  <1, 9, 4445>,
  <1, 10, 7951>,
  <1, 11, 6387>,
  <1, 12, 12087>,
  <1, 13, 11582>,
  <1, 14, 5076>,
  <2, 0, 3415>,
  <2, 1, 6154>,
  <2, 2, 3247>,
  <2, 3, 535>,
  <2, 4, 6337>,
  <2, 5, 2761>,
  <2, 6, 7286>,
  <2, 7, 5505>,
  <2, 8, 1905>,
  <2, 9, 5587>,
  <2, 10, 3768>,
  <2, 11, 5403>,
  <2, 12, 9369>,
  <2, 13, 9966>,
  <2, 14, 5594>,
  <3, 0, 6503>,
  <3, 1, 2756>,
  <3, 2, 6339>,
  <3, 3, 4207>,
  <3, 4, 3078>,
  <3, 5, 5553>,
  <3, 6, 7648>,
  <3, 7, 5589>,
  <3, 8, 3408>,
  <3, 9, 2241>,
